Clt,Joueur,Pos,Naissance,Équipe
390,Kays Ruiz,MT,2002,Auxerre
391,Fabián Ruiz Peña,MT,1996,Paris S-G
392,Halid Šabanović,DFAT,1999,Angers
393,Falaye Sacko,DF,1995,Montpellier
394,Wesley Saïd,ATMT,1995,Lens
395,Théo Sainte-Luce,DF,1998,Montpellier
396,Hamza Sakhi,MT,1996,Auxerre
397,Mamadou Sakho,DF,1990,Montpellier
398,Amine Salama,ATMT,2000,Angers
399,Yoann Salmier,DF,1992,Troyes
400,Mama Samba Baldé,AT,1995,Troyes
401,Brice Samba,GB,1994,Lens
402,Renato Sanches,MT,1997,Paris S-G
403,Alexis Sánchez,ATMT,1988,Marseille
404,Baptiste Santamaria,MT,1995,Rennes
405,Pablo Sarabia,ATMT,1992,Paris S-G
406,Muhammed Saracevic Cham,MT,2000,Clermont Foot
407,Malang Sarr,DF,1999,Monaco
408,Téji Savanier,MT,1991,Montpellier
409,Kasper Schmeichel,GB,1986,Nice
410,Alidu Seidu,DF,2000,Clermont Foot
411,Matz Sels,GB,1992,Strasbourg
412,Marvin Senaya,DF,2001,Strasbourg
413,Caio Henrique Oliveira Silva,DFMT,1997,Monaco
414,Abdallah Sima,AT,2001,Angers
415,Moses Simon,MTAT,1995,Nantes
416,Lassine Sinayoko,MTAT,1999,Auxerre
417,Ibrahima Sissoko,MT,1997,Strasbourg
418,Moussa Sissoko,MT,1989,Nantes
419,Islam Slimani,AT,1988,Brest
420,Carlos Soler,MT,1997,Paris S-G
421,François-Joseph Sollacaro,GB,1994,Ajaccio
422,Florian Sotoca,ATMT,1990,Lens
423,Arnaud Souquet,DFMT,1992,Montpellier
424,Kevin Spadanuda,MT,1997,Ajaccio
425,Stijn Spierings,MT,1996,Toulouse
426,Calvin Stengs,MTAT,1998,Nice
427,Kamaldeen Sulemana,ATMT,2002,Rennes
428,Issiaga Sylla,DF,1994,Toulouse
429,Nicolás Tagliafico,DF,1992,Lyon
430,Waniss Taibi,MT,2002,Angers
431,Flavien Tait,MT,1993,Rennes
432,Montassar Talbi,DF,1998,Lorient
433,Florian Tardieu,MT,1992,Troyes
434,Nuno Tavares,DF,2000,Marseille
435,Enzo Tchato,DF,2002,Montpellier
436,Martin Terrier,ATMT,1997,Rennes
437,Tetê,ATMT,2000,Lyon
438,Arthur Theate,DF,2000,Rennes
439,Sada Thioub,MTAT,1995,Angers
440,Adrien Thomasson,MT,1993,Strasbourg
441,Khéphren Thuram-Ulie,MT,2001,Nice
442,Jean-Clair Todibo,DF,1999,Nice
443,Karl Toko Ekambi,ATMT,1992,Lyon
444,Corentin Tolisso,MT,1994,Lyon
445,Birama Touré,MT,1992,Auxerre
446,Souleymane Touré,DF,2003,Marseille
447,Yoann Touzghar,AT,1986,Ajaccio
448,Hamari Traoré,DF,1992,Rennes
449,Adrien Truffert,DF,2001,Rennes
450,Ike Ugbo,ATMT,1998,Troyes
451,Chimuanya Ugochukwu,MT,2004,Rennes
452,Cengiz Ünder,MT,1997,Marseille
453,Jere Uronen,DF,1994,Brest
454,Yan Valery,DFAT,1999,Angers
455,Vanderson,DFMT,2001,Monaco
456,Jordan Veretout,MT,1993,Marseille
457,Marco Verratti,MT,1992,Paris S-G
458,Clément Vidal,DF,2000,Ajaccio
459,Alan Virginius,MTAT,2003,Lille
460,Mattia Viti,DF,2002,Nice
461,Vitinha,MT,2000,Paris S-G
462,Kevin Volland,AT,1992,Monaco
463,Timothy Weah,MT,2000,Lille
464,Mateusz Wieteska,DF,1997,Clermont Foot
465,Christopher Wooh,DF,2001,Rennes
466,Christopher Wooh,MT,2001,Lens
467,Xeka,MT,1994,Rennes
468,Yusuf Yazıcı,MT,1997,Lille
469,Darlin Yongwa,ATDF,2000,Lorient
470,Leny Yoro,DF,2005,Lille
471,Mohamed Youssouf,DF,1988,Ajaccio
472,Warren Zaire-Emery,MT,2006,Paris S-G
473,Oliver Zandén,DFMT,2001,Toulouse
474,Akim Zedadka,DFMT,1995,Lille
475,Mehdi Zeffane,MTDF,1992,Clermont Foot
476,Arber Zeneli,ATMT,1995,Reims
477,Edon Zhegrova,MT,1999,Lille

