,,,,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,,-additional
Clt,Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matchs,-9999
62,Veljko Birmančević,rs SRB,MTDF,Toulouse,24-235,1998,5,0,83,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.5,0.32,0.18,0.50,0.32,0.50,Matchs,636247ca
63,Marco Bizot,nl NED,GB,Brest,31-230,1991,12,12,1080,12.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,3d214e5f
64,Rubén Blanco,es ESP,GB,Marseille,27-093,1995,3,3,270,3.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,967f34d3
65,Ludovic Blas,fr FRA,MTAT,Nantes,24-299,1997,12,9,887,9.9,1,1,0,1,2,0,0,0.10,0.10,0.20,0.00,0.10,3.5,2.0,1.7,3.6,0.36,0.17,0.53,0.20,0.37,Matchs,6191093d
66,Miha Blažič,si SVN,DF,Angers,29-171,1993,8,8,675,7.5,1,0,1,0,0,0,0,0.13,0.00,0.13,0.13,0.13,1.0,1.0,0.0,1.0,0.13,0.00,0.13,0.13,0.13,Matchs,3cdfc63e
67,Myron Boadu,nl NED,AT,Monaco,21-285,2001,1,0,18,0.2,1,0,1,0,0,0,0,5.00,0.00,5.00,5.00,5.00,0.4,0.4,0.0,0.4,2.22,0.00,2.22,2.22,2.22,Matchs,5b479568
68,Jérôme Boateng,de GER,DF,Lyon,34-053,1988,2,2,133,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.2,0.00,0.12,0.12,0.00,0.12,Matchs,2db2fd7b
69,Antonin Bobichon,fr FRA,MT,Angers,27-042,1995,2,0,12,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.43,0.00,0.43,0.43,0.43,Matchs,7d937aa1
70,Quentin Boisgard,fr FRA,MT,Lorient,25-223,1997,4,1,164,1.8,1,0,1,0,0,1,0,0.55,0.00,0.55,0.55,0.55,0.3,0.3,0.0,0.4,0.18,0.03,0.21,0.18,0.21,Matchs,f6496133
71,Neto Borges,br BRA,DF,Clermont Foot,26-043,1996,11,11,918,10.2,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.5,0.5,1.7,2.2,0.05,0.17,0.22,0.05,0.22,Matchs,9f936061
72,Kenji-Van Boto,mg MAD,DF,Auxerre,26-233,1996,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matchs,c03b7266
73,Kouamé Botué,bf BFA,AT,Ajaccio,20-080,2002,4,2,163,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.2,1.2,0.1,1.2,0.65,0.03,0.68,0.65,0.68,Matchs,65fcf987
74,Hicham Boudaoui,dz ALG,MT,Nice,23-033,1999,3,0,94,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,f9d5908e
75,Sofiane Boufal,ma MAR,MTAT,Angers,29-039,1993,11,8,715,7.9,3,3,1,2,2,3,1,0.38,0.38,0.76,0.13,0.50,3.3,1.7,2.4,4.1,0.41,0.30,0.71,0.21,0.52,Matchs,b0c71810
76,Ismaëlben Boura,fr FRA,DFAT,Lens,22-073,2000,4,0,54,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.3,0.10,0.35,0.45,0.10,0.45,Matchs,62e02107
77,Benjamin Bourigeaud,fr FRA,MTAT,Rennes,28-285,1994,12,12,914,10.2,0,3,0,0,0,0,0,0.00,0.30,0.30,0.00,0.30,1.4,1.4,4.9,6.3,0.14,0.49,0.62,0.14,0.62,Matchs,20e73fac
78,Bilal Brahimi,dz ALG,ATMT,Nice,22-226,2000,7,1,191,2.1,0,1,0,0,0,0,0,0.00,0.47,0.47,0.00,0.47,0.2,0.2,0.7,0.9,0.09,0.31,0.41,0.09,0.41,Matchs,02bcaf8e
79,Lilian Brassier,fr FRA,DF,Brest,22-358,1999,11,11,930,10.3,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.8,0.9,0.01,0.08,0.09,0.01,0.09,Matchs,5b146df3
80,Andreas Bruus,dk DEN,DFMT,Troyes,23-283,1999,7,4,415,4.6,0,1,0,0,0,2,0,0.00,0.22,0.22,0.00,0.22,0.0,0.0,0.5,0.5,0.00,0.12,0.12,0.00,0.12,Matchs,b088d5d3
81,Joe Bryan,eng ENG,MTDF,Nice,29-039,1993,3,2,153,1.7,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.02,0.03,0.05,0.02,0.05,Matchs,af69e7f0
82,Adam Buksa,pl POL,ATMT,Lens,26-106,1996,4,0,63,0.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,3b676989
83,Marcin Bułka,pl POL,GB,Nice,23-022,1999,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,db87a2c4
84,Maxime Busi,be BEL,DF,Reims,23-012,1999,7,6,507,5.6,0,1,0,0,0,3,0,0.00,0.18,0.18,0.00,0.18,0.0,0.0,0.1,0.2,0.01,0.02,0.03,0.01,0.03,Matchs,7b082ec2
85,Rémy Cabella,fr FRA,MT,Lille,32-232,1990,6,5,455,5.1,3,4,3,0,0,0,0,0.59,0.79,1.38,0.59,1.38,1.7,1.7,1.7,3.4,0.33,0.34,0.68,0.33,0.68,Matchs,148e136f
86,Jimmy Cabot,fr FRA,DFMT,Lens,28-191,1994,11,5,511,5.7,0,1,0,0,0,2,0,0.00,0.18,0.18,0.00,0.18,0.3,0.3,2.2,2.5,0.05,0.39,0.44,0.05,0.44,Matchs,46359159
87,Jens Cajuste,se SWE,MT,Reims,23-077,1999,7,3,343,3.8,0,1,0,0,0,3,1,0.00,0.26,0.26,0.00,0.26,0.3,0.3,0.5,0.9,0.09,0.14,0.23,0.09,0.23,Matchs,928a4a61
88,Duje Ćaleta-Car,hr CRO,DF,Marseille,26-039,1996,1,0,8,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,94f8d10c
89,Mahdi Camara,fr FRA,MTDF,Brest,24-118,1998,7,4,351,3.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.2,0.04,0.01,0.05,0.04,0.05,Matchs,8577e60a
90,Mohamed Camara,ml MLI,MT,Monaco,22-293,2000,9,7,619,6.9,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.8,1.1,0.04,0.12,0.17,0.04,0.17,Matchs,489e80e3
91,Ousmane Camara,fr FRA,DF,Angers,19-234,2003,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,7d3dfdfd
92,Axel Camblan,fr FRA,AT,Brest,19-057,2003,1,0,14,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,1.07,0.22,1.29,1.07,1.29,Matchs,9f4a940f
93,Pierrick Capelle,fr FRA,MTDF,Angers,35-194,1987,9,4,377,4.2,0,1,0,0,0,2,0,0.00,0.24,0.24,0.00,0.24,0.5,0.5,0.2,0.7,0.12,0.06,0.17,0.12,0.17,Matchs,79b2399c
94,Maxence Caqueret,fr FRA,MT,Lyon,22-253,2000,11,8,761,8.5,0,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,0.6,0.6,1.4,2.0,0.07,0.16,0.23,0.07,0.23,Matchs,f81ef10d
95,Irvin Cardona,fr FRA,ATMT,Brest,25-079,1997,9,1,218,2.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.09,0.11,0.20,0.09,0.20,Matchs,5e080f73
96,Matis Carvalho,pt POR,GB,Montpellier,23-181,1999,2,1,136,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,8608f269
