,,,,,,,Temps de jeu,Temps de jeu,Temps de jeu,Temps de jeu,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Attendu,Attendu,Attendu,Attendu,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,Par 90 minutes,,-additional
Clt,Joueur,Nation,Pos,Équipe,Âge,Naissance,MJ,Titulaire,Min,90,Buts,PD,B-PénM,PénM,PénT,CJ,CR,Buts,PD,B+PD,B-PénM,B+PD-PénM,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matchs,-9999
315,Chancel Mbemba,cd COD,DF,Marseille,28-079,1994,12,12,1035,11.5,1,0,1,0,0,0,0,0.09,0.00,0.09,0.09,0.09,0.8,0.8,0.0,0.8,0.07,0.00,0.07,0.07,0.07,Matchs,e76cb9cc
316,Nathanael Mbuku,fr FRA,MTAT,Reims,20-224,2002,5,0,56,0.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,46750e9c
317,Facundo Medina,ar ARG,DF,Lens,23-151,1999,12,12,1080,12.0,0,1,0,0,0,3,0,0.00,0.08,0.08,0.00,0.08,1.0,1.0,0.5,1.5,0.08,0.04,0.12,0.08,0.12,Matchs,6f5ec8bb
318,Farid El Melali,dz ALG,AT,Angers,25-174,1997,2,0,16,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.28,0.28,0.00,0.28,Matchs,d21e361a
319,Birger Meling,no NOR,DFAT,Rennes,27-313,1994,7,1,179,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,70c52749
320,Nuno Mendes,pt POR,DFMT,Paris S-G,20-129,2002,9,6,581,6.5,1,2,1,0,0,1,0,0.15,0.31,0.46,0.15,0.46,0.6,0.6,1.2,1.9,0.09,0.19,0.29,0.09,0.29,Matchs,f20e4cc9
321,Thiago Mendes,br BRA,DFMT,Lyon,30-225,1992,11,11,897,10.0,0,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,0.0,0.0,0.1,0.2,0.00,0.01,0.02,0.00,0.02,Matchs,c6e5d20f
322,Antoine Mendy,fr FRA,DF,Nice,18-152,2004,1,0,7,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,3322e296
323,Arial Mendy,sn SEN,DF,Clermont Foot,27-353,1994,4,1,206,2.3,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.02,0.03,0.05,0.02,0.05,Matchs,9f0f4b49
324,Batista Mendy,fr FRA,MTDF,Angers,22-287,2000,11,11,857,9.5,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.2,0.4,0.03,0.02,0.04,0.03,0.04,Matchs,e472a6f6
325,Gideon Mensah,gh GHA,DF,Auxerre,24-100,1998,4,4,360,4.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.1,0.01,0.03,0.03,0.01,0.03,Matchs,9bdd8118
326,Quentin Merlin,fr FRA,DFMT,Nantes,20-163,2002,10,10,882,9.8,0,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,0.2,0.2,1.0,1.2,0.02,0.10,0.12,0.02,0.12,Matchs,0bfca6a1
327,Lionel Messi,ar ARG,MTAT,Paris S-G,35-124,1987,11,11,963,10.7,6,9,6,0,0,0,0,0.56,0.84,1.40,0.56,1.40,7.1,7.1,4.8,11.9,0.66,0.45,1.11,0.66,1.11,Matchs,d70ce98e
328,Arkadiusz Milik,pl POL,AT,Marseille,28-240,1994,2,2,129,1.4,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.4,0.10,0.17,0.27,0.10,0.27,Matchs,85613cf0
329,Takumi Minamino,jp JPN,MTAT,Monaco,27-283,1995,7,3,202,2.2,1,2,1,0,0,0,0,0.45,0.89,1.34,0.45,1.34,0.4,0.4,0.1,0.5,0.17,0.05,0.22,0.17,0.22,Matchs,f833a830
330,Terem Moffi,ng NGA,AT,Lorient,23-154,1999,11,11,821,9.1,8,0,7,1,2,1,0,0.88,0.00,0.88,0.77,0.77,5.0,3.4,0.3,3.7,0.55,0.03,0.58,0.38,0.41,Matchs,065dc209
331,Mostafa Mohamed,eg EGY,AT,Nantes,24-332,1997,12,6,661,7.3,3,1,3,0,0,0,0,0.41,0.14,0.54,0.41,0.54,1.1,1.1,1.3,2.4,0.15,0.18,0.33,0.15,0.33,Matchs,595e6f3e
332,Marlos Moreno,co COL,DF,Troyes,26-036,1996,1,0,4,0.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,8499c713
333,Lebo Mothiba,za RSA,ATMT,Strasbourg,26-271,1996,4,0,56,0.6,1,0,1,0,0,0,0,1.61,0.00,1.61,1.61,1.61,0.4,0.4,0.0,0.4,0.61,0.00,0.61,0.61,0.61,Matchs,3eaf8817
334,Steve Mounié,bj BEN,AT,Brest,28-027,1994,1,0,22,0.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,19ba6c6d
335,Bevic Moussiti-Oko,cg CGO,AT,Ajaccio,27-271,1995,10,4,401,4.5,1,0,1,0,0,0,0,0.22,0.00,0.22,0.22,0.22,0.9,0.9,0.1,1.0,0.20,0.02,0.22,0.20,0.22,Matchs,71d10572
336,Samuel Moutoussamy,cd COD,MT,Nantes,26-075,1996,10,9,747,8.3,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.2,1.2,0.12,0.02,0.14,0.12,0.14,Matchs,af0c835b
337,Nordi Mukiele,fr FRA,DF,Paris S-G,24-359,1997,10,4,496,5.5,0,1,0,0,0,0,0,0.00,0.18,0.18,0.00,0.18,0.3,0.3,0.1,0.4,0.05,0.03,0.08,0.05,0.08,Matchs,ac73ec79
338,Marshall Munetsi,zw ZIM,MT,Reims,26-126,1996,10,10,843,9.4,1,0,1,0,0,4,0,0.11,0.00,0.11,0.11,0.11,2.1,2.1,0.8,2.9,0.22,0.09,0.30,0.22,0.30,Matchs,2acf0cd7
339,Yvon Mvogo,ch SUI,GB,Lorient,28-142,1994,12,12,1080,12.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,dc29b608
340,Nathan N'Goumou,fr FRA,MT,Toulouse,22-226,2000,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,e110ea4b
341,Papa Ndiaga Yade,sn SEN,DFMT,Troyes,22-294,2000,8,3,320,3.6,0,1,0,0,0,1,0,0.00,0.28,0.28,0.00,0.28,0.5,0.5,0.9,1.4,0.14,0.26,0.40,0.14,0.40,Matchs,87e9c7cd
342,Neymar,br BRA,MTAT,Paris S-G,30-263,1992,11,9,826,9.2,9,7,7,2,2,3,0,0.98,0.76,1.74,0.76,1.53,5.2,3.6,5.1,8.7,0.56,0.56,1.12,0.39,0.95,Matchs,69384e5d
343,M'Baye Niang,sn SEN,AT,Auxerre,27-311,1994,8,5,443,4.9,2,0,1,1,1,1,1,0.41,0.00,0.41,0.20,0.20,1.5,0.7,0.0,0.7,0.31,0.00,0.31,0.15,0.15,Matchs,2054d037
344,Rasmus Nicolaisen,dk DEN,DF,Toulouse,25-224,1997,12,12,1015,11.3,0,1,0,0,0,4,1,0.00,0.09,0.09,0.00,0.09,0.4,0.4,0.4,0.9,0.04,0.04,0.08,0.04,0.08,Matchs,3f319bb9
345,Arnaud Nordin,fr FRA,MT,Montpellier,24-131,1998,10,9,711,7.9,3,1,3,0,0,2,0,0.38,0.13,0.51,0.38,0.51,1.2,1.2,0.2,1.5,0.16,0.03,0.19,0.16,0.19,Matchs,7b9a9e25
346,Riad Nouri,fr FRA,MT,Ajaccio,37-141,1985,11,4,544,6.0,0,1,0,0,1,1,0,0.00,0.17,0.17,0.00,0.17,1.4,0.6,1.1,1.7,0.23,0.18,0.41,0.10,0.28,Matchs,374fbf7d
347,Alexander Nübel,de GER,GB,Monaco,26-026,1996,12,12,1080,12.0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,afb0c500
348,Gerzino Nyamsi,fr FRA,DF,Strasbourg,25-277,1997,5,5,387,4.3,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.3,0.07,0.00,0.07,0.07,0.07,Matchs,6043997c
349,Wilson Odobert,fr FRA,MT,Troyes,17-332,2004,12,5,561,6.2,3,1,3,0,0,0,0,0.48,0.16,0.64,0.48,0.64,1.0,1.0,0.6,1.7,0.17,0.10,0.27,0.17,0.27,Matchs,35516eac
350,Florent Ogier,fr FRA,DF,Clermont Foot,33-219,1989,7,5,492,5.5,0,1,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,0.2,0.2,0.7,0.9,0.04,0.12,0.16,0.04,0.16,Matchs,6993927b
351,Jonas Omlin,ch SUI,GB,Montpellier,28-289,1994,9,9,716,8.0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,c631f952
352,Ado Onaiwu,jp JPN,ATMT,Toulouse,26-352,1995,9,0,218,2.4,0,1,0,0,0,0,0,0.00,0.41,0.41,0.00,0.41,0.4,0.4,0.1,0.6,0.18,0.06,0.24,0.18,0.24,Matchs,ff4df82e
353,Jean Onana,cm CMR,MT,Lens,22-291,2000,4,1,84,0.9,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.03,0.04,0.07,0.03,0.07,Matchs,b5bb8188
354,Loïs Openda,be BEL,AT,Lens,22-252,2000,12,11,848,9.4,4,0,4,0,0,0,0,0.42,0.00,0.42,0.42,0.42,5.0,5.0,1.2,6.1,0.53,0.12,0.65,0.53,0.65,Matchs,8652a85c
355,Dango Ouattara,bf BFA,MTAT,Lorient,20-257,2002,11,11,923,10.3,4,4,4,0,0,3,1,0.39,0.39,0.78,0.39,0.78,4.0,4.0,2.1,6.1,0.39,0.20,0.60,0.39,0.60,Matchs,2f9e4435
356,Azzedine Ounahi,ma MAR,MT,Angers,22-190,2000,12,11,942,10.5,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.8,1.8,1.3,3.0,0.17,0.12,0.29,0.17,0.29,Matchs,83299cc0
357,Adam Ounas,dz ALG,MTAT,Lille,25-349,1996,7,6,519,5.8,1,1,1,0,0,1,0,0.17,0.17,0.35,0.17,0.35,0.9,0.9,1.5,2.4,0.16,0.27,0.42,0.16,0.42,Matchs,ed90babd
358,Nicolas Pallois,fr FRA,DF,Nantes,35-037,1987,12,12,1045,11.6,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.00,0.00,0.01,0.00,0.01,Matchs,779847d6
359,Erik Palmer-Brown,us USA,DF,Troyes,25-185,1997,12,11,977,10.9,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.6,0.03,0.03,0.06,0.03,0.06,Matchs,e5c1e0ca
360,Lucas Paquetá,br BRA,MT,Lyon,25-060,1997,2,2,159,1.8,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.6,0.21,0.12,0.33,0.21,0.33,Matchs,9b6f7fd5
361,Leandro Paredes,ar ARG,MT,Paris S-G,28-119,1994,3,0,52,0.6,0,1,0,0,0,0,0,0.00,1.73,1.73,0.00,1.73,0.0,0.0,0.4,0.4,0.00,0.72,0.72,0.00,0.72,Matchs,dff153a4
362,Dimitri Payet,fr FRA,MT,Marseille,35-211,1987,9,4,342,3.8,1,1,0,1,1,0,0,0.26,0.26,0.53,0.00,0.26,1.6,0.8,1.1,1.9,0.42,0.29,0.71,0.22,0.50,Matchs,58ae47b2
363,Patrick Pentz,at AUT,GB,Reims,25-297,1997,7,7,630,7.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,0810b6df
364,Nicolas Pépé,ci CIV,MTAT,Nice,27-150,1995,8,7,626,7.0,3,0,1,2,2,0,0,0.43,0.00,0.43,0.14,0.14,4.1,2.5,1.1,3.6,0.56,0.15,0.71,0.35,0.50,Matchs,57e3f0c7
365,Brayann Pereira,fr FRA,DF,Auxerre,19-158,2003,2,2,180,2.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,5c42e7ce
366,Danilo Pereira,pt POR,DFMT,Paris S-G,31-047,1991,9,6,515,5.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.09,0.01,0.09,0.09,0.09,Matchs,8fd9996f
367,Mathias Pereira Lage,pt POR,MTAT,Brest,25-330,1996,12,10,783,8.7,0,1,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,0.6,0.6,1.4,2.1,0.07,0.17,0.24,0.07,0.24,Matchs,8846a40f
368,Gaëtan Perrin,fr FRA,MT,Auxerre,26-141,1996,12,3,371,4.1,1,1,1,0,0,1,0,0.24,0.24,0.49,0.24,0.49,0.6,0.6,0.4,1.0,0.14,0.11,0.25,0.14,0.25,Matchs,10dd88f9
369,Lucas Perrin,fr FRA,DF,Strasbourg,23-341,1998,7,4,444,4.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.04,0.00,0.05,0.04,0.05,Matchs,49070d66
370,Ronaël Pierre-Gabriel,fr FRA,DF,Strasbourg,24-135,1998,10,4,435,4.8,0,1,0,0,0,2,0,0.00,0.21,0.21,0.00,0.21,0.0,0.0,0.7,0.7,0.00,0.14,0.14,0.00,0.14,Matchs,64ba07c0
371,Julien Ponceau,fr FRA,MT,Lorient,21-332,2000,9,6,553,6.1,0,2,0,0,0,1,0,0.00,0.33,0.33,0.00,0.33,0.3,0.3,1.2,1.5,0.05,0.20,0.25,0.05,0.25,Matchs,e546b2e3
372,Łukasz Poręba,pl POL,MT,Lens,22-227,2000,4,3,202,2.2,0,1,0,0,0,1,0,0.00,0.45,0.45,0.00,0.45,0.6,0.6,0.6,1.1,0.26,0.25,0.51,0.26,0.51,Matchs,be98f358
373,Jackson Porozo,ec ECU,DF,Troyes,22-083,2000,9,9,778,8.6,2,0,2,0,0,1,0,0.23,0.00,0.23,0.23,0.23,2.1,2.1,0.0,2.1,0.24,0.00,0.24,0.24,0.24,Matchs,7d704e92
374,Sanjin Prcić,ba BIH,MT,Strasbourg,28-340,1993,10,8,684,7.6,0,1,0,0,0,1,1,0.00,0.13,0.13,0.00,0.13,0.5,0.5,0.3,0.8,0.06,0.04,0.10,0.06,0.10,Matchs,51c30111
375,Ghjuvanni Quilichini,fr FRA,GB,Ajaccio,20-055,2002,1,0,82,0.9,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,1b729a98
376,Adil Rami,fr FRA,DF,Troyes,36-303,1985,7,5,539,6.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.03,0.00,0.03,0.03,0.03,Matchs,8dbff17c
377,Sergio Ramos,es ESP,DF,Paris S-G,36-210,1986,10,9,754,8.4,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.2,0.02,0.00,0.02,0.02,0.02,Matchs,08511d65
378,Aaron Ramsey,wls WAL,MT,Nice,31-304,1990,9,3,369,4.1,1,0,1,0,0,0,0,0.24,0.00,0.24,0.24,0.24,1.0,1.0,0.1,1.1,0.23,0.03,0.26,0.23,0.26,Matchs,ef619b0b
379,Elba Rashani,xk KVX,MTDF,Clermont Foot,29-170,1993,10,6,552,6.1,1,0,1,0,0,1,0,0.16,0.00,0.16,0.16,0.16,0.8,0.8,0.2,1.0,0.12,0.04,0.16,0.12,0.16,Matchs,25749008
380,Rafael Ratão,br BRA,MTAT,Toulouse,26-330,1995,9,8,580,6.4,3,0,3,0,0,1,0,0.47,0.00,0.47,0.47,0.47,2.6,2.6,0.5,3.0,0.40,0.07,0.47,0.40,0.47,Matchs,40ef7347
381,Rayan Raveloson,mg MAD,MT,Auxerre,25-283,1997,10,5,460,5.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.2,1.0,0.15,0.04,0.19,0.15,0.19,Matchs,fb3236a7
382,Jeff Reine-Adélaïde,fr FRA,MT,Lyon,24-282,1998,9,1,243,2.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.8,0.17,0.12,0.30,0.17,0.30,Matchs,d504b3e1
383,Alexsandro Ribeiro,br BRA,DF,Lille,23-078,1999,5,4,348,3.9,1,0,1,0,0,0,0,0.26,0.00,0.26,0.26,0.26,0.1,0.1,0.0,0.1,0.03,0.00,0.03,0.03,0.03,Matchs,102c9665
384,Rémy Riou,fr FRA,GB,Lyon,35-081,1987,4,3,331,3.7,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,7f41ee30
385,Renaud Ripart,fr FRA,MTAT,Troyes,29-226,1993,11,7,633,7.0,2,0,2,0,0,1,0,0.28,0.00,0.28,0.28,0.28,2.2,2.2,1.0,3.2,0.31,0.14,0.45,0.31,0.45,Matchs,beae3a73
386,Joe Rodon,wls WAL,DF,Rennes,25-004,1997,9,9,808,9.0,1,0,1,0,0,2,1,0.11,0.00,0.11,0.11,0.11,1.0,1.0,0.0,1.0,0.11,0.00,0.11,0.11,0.11,Matchs,8d62d31a
387,Valentin Rongier,fr FRA,MT,Marseille,27-323,1994,11,10,869,9.7,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.8,1.2,0.05,0.08,0.13,0.05,0.13,Matchs,ed45c4a5
388,Pablo Rosario,nl NED,MTDF,Nice,25-292,1997,9,6,583,6.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.3,0.5,0.03,0.05,0.08,0.03,0.08,Matchs,1a6b7ea4
389,Anthony Rouault,fr FRA,DF,Toulouse,21-150,2001,12,12,1072,11.9,1,0,1,0,0,0,0,0.08,0.00,0.08,0.08,0.08,0.8,0.8,0.3,1.1,0.06,0.03,0.09,0.06,0.09,Matchs,9b545925
390,Kays Ruiz,ma MAR,MT,Auxerre,20-061,2002,1,1,62,0.7,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,90a9cc01
391,Fabián Ruiz Peña,es ESP,MT,Paris S-G,26-206,1996,6,5,418,4.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.2,0.7,0.12,0.04,0.16,0.12,0.16,Matchs,c0c7ff58
392,Halid Šabanović,ba BIH,DFAT,Angers,23-065,1999,4,4,258,2.9,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,8299e363
393,Falaye Sacko,ml MLI,DF,Montpellier,27-178,1995,9,7,611,6.8,0,2,0,0,0,1,0,0.00,0.29,0.29,0.00,0.29,0.3,0.3,0.3,0.7,0.05,0.05,0.10,0.05,0.10,Matchs,6388e356
394,Wesley Saïd,fr FRA,ATMT,Lens,27-190,1995,9,1,227,2.5,3,0,3,0,0,1,0,1.19,0.00,1.19,1.19,1.19,1.0,1.0,0.7,1.6,0.38,0.27,0.65,0.38,0.65,Matchs,90fcf472
395,Théo Sainte-Luce,fr FRA,DF,Montpellier,24-006,1998,5,5,355,3.9,1,1,1,0,0,0,0,0.25,0.25,0.51,0.25,0.51,0.4,0.4,0.6,1.0,0.10,0.16,0.26,0.10,0.26,Matchs,93c942fb
396,Hamza Sakhi,ma MAR,MT,Auxerre,26-141,1996,12,11,931,10.3,0,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,0.8,0.8,2.0,2.8,0.08,0.20,0.27,0.08,0.27,Matchs,c9151d66
397,Mamadou Sakho,fr FRA,DF,Montpellier,32-255,1990,6,4,382,4.2,1,0,1,0,0,1,0,0.24,0.00,0.24,0.24,0.24,0.4,0.4,0.0,0.4,0.09,0.00,0.09,0.09,0.09,Matchs,87935cf3
398,Amine Salama,fr FRA,ATMT,Angers,22-100,2000,10,2,316,3.5,3,1,3,0,0,0,0,0.85,0.28,1.14,0.85,1.14,1.6,1.6,0.3,1.9,0.46,0.09,0.55,0.46,0.55,Matchs,bc7cc472
399,Yoann Salmier,gf GUF,DF,Troyes,29-339,1992,10,10,800,8.9,1,0,1,0,0,2,1,0.11,0.00,0.11,0.11,0.11,0.7,0.7,0.0,0.7,0.08,0.00,0.08,0.08,0.08,Matchs,c3725db2
400,Mama Samba Baldé,gw GNB,AT,Troyes,26-354,1995,12,11,947,10.5,5,2,5,0,0,2,0,0.48,0.19,0.67,0.48,0.67,3.6,3.6,0.7,4.3,0.34,0.06,0.41,0.34,0.41,Matchs,fb14aa28
401,Brice Samba,cg CGO,GB,Lens,28-184,1994,12,12,1080,12.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,60d90c55
402,Renato Sanches,pt POR,MT,Paris S-G,25-069,1997,7,2,253,2.8,1,0,1,0,0,0,0,0.36,0.00,0.36,0.36,0.36,0.3,0.3,0.5,0.8,0.11,0.19,0.30,0.11,0.30,Matchs,032f894e
403,Alexis Sánchez,cl CHI,ATMT,Marseille,33-311,1988,10,8,675,7.5,4,0,4,0,1,0,0,0.53,0.00,0.53,0.53,0.53,4.0,3.2,1.9,5.0,0.53,0.25,0.78,0.42,0.67,Matchs,2c0f8e9e
404,Baptiste Santamaria,fr FRA,MT,Rennes,27-231,1995,7,7,551,6.1,1,0,1,0,0,2,0,0.16,0.00,0.16,0.16,0.16,0.4,0.4,0.3,0.7,0.07,0.05,0.12,0.07,0.12,Matchs,5e22e2a4
405,Pablo Sarabia,es ESP,ATMT,Paris S-G,30-168,1992,9,3,291,3.2,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,1.1,1.4,0.09,0.33,0.43,0.09,0.43,Matchs,9744ff80
406,Muhammed Saracevic Cham,at AUT,MT,Clermont Foot,22-030,2000,12,10,814,9.0,3,2,3,0,0,0,0,0.33,0.22,0.55,0.33,0.55,1.6,1.6,1.2,2.7,0.17,0.13,0.30,0.17,0.30,Matchs,f527a32c
407,Malang Sarr,fr FRA,DF,Monaco,23-276,1999,5,2,198,2.2,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,4315f30d
408,Téji Savanier,fr FRA,MT,Montpellier,30-308,1991,9,9,775,8.6,3,1,2,1,1,2,1,0.35,0.12,0.46,0.23,0.35,1.4,0.6,2.5,3.2,0.16,0.29,0.46,0.07,0.37,Matchs,6bde367b
409,Kasper Schmeichel,dk DEN,GB,Nice,35-355,1986,10,10,900,10.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,53af52f3
410,Alidu Seidu,gh GHA,DF,Clermont Foot,22-144,2000,12,12,1033,11.5,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.4,0.01,0.03,0.03,0.01,0.03,Matchs,cea59f02
411,Matz Sels,be BEL,GB,Strasbourg,30-242,1992,12,12,1080,12.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,834b5c4c
412,Marvin Senaya,tg TOG,DF,Strasbourg,21-271,2001,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,1d383c10
413,Caio Henrique Oliveira Silva,br BRA,DFMT,Monaco,25-087,1997,10,10,869,9.7,1,5,1,0,0,2,0,0.10,0.52,0.62,0.10,0.62,0.3,0.3,2.3,2.6,0.03,0.24,0.27,0.03,0.27,Matchs,30af8b93
414,Abdallah Sima,sn SEN,AT,Angers,21-131,2001,9,5,418,4.6,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.7,1.4,0.16,0.15,0.31,0.16,0.31,Matchs,fdbde523
415,Moses Simon,ng NGA,MTAT,Nantes,27-106,1995,10,10,834,9.3,4,2,3,1,1,1,0,0.43,0.22,0.65,0.32,0.54,3.3,2.3,1.8,4.1,0.36,0.20,0.56,0.25,0.44,Matchs,5f3eaaf5
416,Lassine Sinayoko,ml MLI,MTAT,Auxerre,22-322,1999,11,7,632,7.0,0,1,0,0,0,2,1,0.00,0.14,0.14,0.00,0.14,1.2,1.2,0.4,1.6,0.17,0.06,0.23,0.17,0.23,Matchs,5e5249c8
417,Ibrahima Sissoko,fr FRA,MT,Strasbourg,24-364,1997,5,3,225,2.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.2,0.06,0.02,0.08,0.06,0.08,Matchs,0f8418aa
418,Moussa Sissoko,fr FRA,MT,Nantes,33-071,1989,6,5,435,4.8,1,0,1,0,0,2,0,0.21,0.00,0.21,0.21,0.21,0.8,0.8,0.2,1.0,0.16,0.05,0.21,0.16,0.21,Matchs,2acd49b9
419,Islam Slimani,dz ALG,AT,Brest,34-130,1988,9,8,675,7.5,1,1,1,0,1,3,0,0.13,0.13,0.27,0.13,0.27,1.7,0.9,0.3,1.2,0.23,0.04,0.27,0.12,0.16,Matchs,ffec9769
420,Carlos Soler,es ESP,MT,Paris S-G,25-297,1997,4,2,134,1.5,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.3,0.3,0.00,0.18,0.18,0.00,0.18,Matchs,fed17f5a
421,François-Joseph Sollacaro,fr FRA,GB,Ajaccio,28-219,1994,1,1,90,1.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matchs,f19f32b1
422,Florian Sotoca,fr FRA,ATMT,Lens,32-001,1990,12,12,1021,11.3,6,2,5,1,3,3,0,0.53,0.18,0.71,0.44,0.62,6.0,3.6,3.0,6.6,0.53,0.26,0.79,0.32,0.58,Matchs,7a42d0df
423,Arnaud Souquet,fr FRA,DFMT,Montpellier,30-256,1992,7,1,188,2.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.2,0.03,0.05,0.08,0.03,0.08,Matchs,4e0afc5d
